Start,Generated rewards,Locked,Claimable,Identifier,Yield type,Validator identifier,Asset identifier,Internal account name,Internal account tags,Platform
2025-02-16T00:00:00,0.000046,1004.9974,0.013747,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-10T00:00:00,0.000045,1004.9974,0.01347,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-11T00:00:00,0.000042,1004.9974,0.013515,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-12T00:00:00,0.000036,1004.9974,0.013556,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-13T00:00:00,0.000041,1004.9974,0.013593,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-14T00:00:00,0.000059,1004.9974,0.013634,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-15T00:00:00,0.000054,1004.9974,0.013693,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-16T00:00:00,0.000046,1004.9974,0.013747,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-10T00:00:00,0.000045,1004.9974,0.01347,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-11T00:00:00,0.000042,1004.9974,0.013515,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-12T00:00:00,0.000036,1004.9974,0.013556,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-13T00:00:00,0.000041,1004.9974,0.013593,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-14T00:00:00,0.000059,1004.9974,0.013634,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-15T00:00:00,0.000054,1004.9974,0.013693,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-16T00:00:00,0.000046,1004.9974,0.013747,dydx16pj5gljqnqs0ajxakccfjhu05yczp9870tkh0z,REWARD,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,adydx,Dydx Chain Wallet,ENTITY 2,DYDX
2025-02-10T00:00:00,176.296781,463407.710396,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-11T00:00:00,0,463649.654151,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
